Time,Temperature
0,25.0
2,26.9
4,29.5
6,33.4
8,36.6
10,40.0
14,45.2
16,47.6
18,49.5
20,51.5
22,52.8
24,54.2
26,55.3
28,56.4
30,57.1
32,58.0
34,58.8
36,59.6
38,60.2
40,60.8
42,61.7
44,62.3
46,62.6
48,63.4
50,63.5
52,61.6
54,58.8
56,56.6
58,54.5
60,49.6
62,40.0
64,38.2
66,36.8
68,35.8
70,35.0
72,33.4
76,31.9
78,31.5
80,30.1
82,21.1
84,19.9
86,18.9
88,18.4
92,17.0
94,16.4
96,16.2
98,15.9
112,14.4
114,17.1
118,27.4
120,31.8
122,36.6
124,41.2
126,45.6
128,48.8
130,51.7
132,54.5
134,56.6
136,58.6
138,60.3
140,61.5
142,62.6
144,63.8
146,64.6
148,65.6
150,66.6
152,67.3
154,67.9
156,68.5
158,68.8
160,69.5
162,69.9
164,71.5
166,68.6
168,65.3
170,62.8
172,56.7
174,50.7
176,45.8
180,37.7
182,33.1
184,30.5
186,28.3
188,27.2
190,25.4
192,24.4
194,23.2
196,22.4
200,20.7
202,19.9
206,19.0
208,18.9
210,18.7
212,18.4
216,17.0
218,16.5
